name,team,bats,throws
carmen mlodzinski,PIT,R,R
carson benge,NYM,L,R
carson kelly,CHC,R,R
carson palmquist,COL,L,L
carson seymour,SF,R,R
carson whisenhunt,SF,L,L
carson williams,TB,R,R
carter baumler,TEX,R,R
carter jensen,KC,L,R
casey legumina,SEA,R,R
casey legumina,TB,R,R
casey mize,DET,R,R
casey schmitt,SF,R,R
ceddanne rafaela,BOS,R,R
cedric mullins,TB,L,L
cesar prieto,STL,L,R
cesar salazar,HOU,L,R
chad patrick,MIL,R,R
chandler simpson,TB,L,R
charlie barnes,CHC,L,L
chase burns,CIN,R,R
chase delauter,CLE,L,L
chase dollander,COL,R,R
chase hampton,NYY,R,R
chase lee,TOR,R,R
chase meidroth,CWS,R,R
chase petty,CIN,R,R
chase shugart,PHI,L,R
chase silseth,LAA,R,R
chase solesky,TB,R,R
chayce mcdermott,LAD,L,R
chen zhongao zhuang,ATH,R,R
chris bassitt,BAL,R,R
chris devenski,PIT,R,R
chris martin,TEX,R,R
chris murphy,CWS,L,L
chris paddack,MIA,R,R
chris roycroft,STL,R,R
chris sale,ATL,L,L
christian cairo,PHI,R,R
christian encarnacionstrand,BAL,R,R
christian encarnacionstrand,CIN,R,R
christian franklin,WSH,R,R
christian koss,SF,R,R
christian moore,LAA,R,R
christian roa,HOU,R,R
christian roa,MIN,R,R
christian scott,NYM,R,R
christian vazquez,HOU,R,R
christian walker,HOU,R,R
christian yelich,MIL,L,R
christopher morel,MIA,R,R
cionel perez,WSH,R,L
cj abrams,WSH,L,R
cj kayfus,CLE,L,L
clarke schmidt,NYY,R,R
clay holmes,NYM,R,R
clayton beeter,WSH,R,R
coby mayo,BAL,R,R
codi heuer,CLE,R,R
cody bellinger,NYY,L,L
cody bolton,HOU,R,R
cody bradford,TEX,L,L
cody freeman,TEX,R,R
cody laweryson,MIN,L,R
cody ponce,TOR,R,R
colby thomas,ATH,R,R
cole henry,WSH,R,R
cole ragans,KC,L,L
cole sands,MIN,R,R
cole sulser,TB,R,R
cole wilcox,SEA,R,R
cole winn,TEX,R,R
cole young,SEA,L,R
coleman crow,MIL,R,R
colin holderman,CLE,R,R
colin rea,CHC,R,R
colin selby,BAL,R,R
colson montgomery,CWS,L,R
colt emerson,SEA,L,R
colt keith,DET,L,R
colton cowser,BAL,L,R
colton gordon,HOU,L,L
connelly early,BOS,L,L
connor brogdon,CLE,R,R
connor joe,SEA,R,R
connor norby,MIA,R,R
connor phillips,CIN,R,R
connor prielipp,MIN,L,L
connor seabold,DET,R,R
connor wong,BOS,R,R
cooper criswell,SEA,R,R
cooper hjerpe,STL,L,L
cooper pratt,MIL,R,R
corbin burnes,ARI,R,R
corbin carroll,ARI,L,L
corbin martin,CHC,R,R
corey seager,TEX,L,R
craig kimbrel,NYM,R,R
craig yoho,MIL,R,R
cristian javier,HOU,R,R
cristian mena,ARI,R,R
cristopher sanchez,PHI,L,L
