name,team,bats,throws
nick gonzales,PIT,R,R
nick kurtz,ATH,L,L
nick lodolo,CIN,L,L
nick loftin,KC,R,R
nick martinez,TB,L,R
nick mears,KC,R,R
nick morabito,NYM,R,R
nick pivetta,SD,R,R
nick raquet,BAL,R,L
nick sandlin,LAA,R,R
nick sogard,BOS,S,R
nick yorke,PIT,R,R
nicky lopez,CHC,L,R
nico hoerner,CHC,R,R
noah cameron,KC,L,L
noah schultz,CWS,L,L
noelvi marte,CIN,R,R
nolan arenado,ARI,R,R
nolan gorman,STL,L,R
nolan hoffman,PHI,R,R
nolan mclean,NYM,R,R
nolan schanuel,LAA,L,R
omar martinez,LAA,L,R
oneil cruz,PIT,L,R
orion kerkering,PHI,R,R
orlando ribalta,WSH,R,R
osvaldo bido,ATL,R,R
osvaldo bido,CWS,R,R
oswald peraza,LAA,R,R
oswaldo cabrera,NYY,S,R
otto kemp,PHI,R,R
otto lopez,MIA,R,R
owen caissie,MIA,L,R
ozzie albies,ATL,S,R
pablo lopez,MIN,L,R
parker meadows,DET,L,R
parker messick,CLE,L,L
patrick bailey,SF,S,R
patrick corbin,TOR,L,L
patrick sandoval,BOS,L,L
patrick wisdom,SEA,R,R
paul blackburn,NYY,R,R
paul dejong,NYY,R,R
paul gervase,LAD,R,R
paul goldschmidt,NYY,R,R
paul sewald,ARI,R,R
paul skenes,PIT,R,R
pavin smith,ARI,L,L
paxton schultz,WSH,L,R
payton tolle,BOS,L,L
pedro leon,PHI,R,R
pedro pages,STL,R,R
pedro ramirez,CHC,S,R
pete alonso,BAL,R,R
pete crowarmstrong,CHC,L,L
pete fairbanks,MIA,R,R
peter lambert,HOU,R,R
petey halpin,CLE,L,R
peyton gray,TEX,R,R
peyton pallette,CLE,R,R
phil maton,CHC,R,R
philip abner,ARI,L,L
pierce johnson,CIN,R,R
pierson ohl,COL,R,R
pj higgins,CIN,R,R
pj poulin,WSH,R,L
porter hodge,CHC,R,R
prelander berroa,CWS,R,R
quinn priester,MIL,R,R
rafael devers,SF,L,R
rafael marchan,PHI,S,R
raisel iglesias,ATL,R,R
ramon laureano,SD,R,R
ramon urias,STL,R,R
randal grichuk,CWS,R,R
randal grichuk,NYY,R,R
randy arozarena,SEA,R,R
randy rodriguez,SF,R,R
randy vasquez,SD,R,R
ranger suarez,BOS,L,L
rece hinds,CIN,R,R
reed garrett,NYM,R,R
reed trimble,BAL,S,R
reese olson,DET,R,R
reid detmers,LAA,L,L
reiver sanmartin,SF,L,L
reynaldo lopez,ATL,R,R
rhett lowder,CIN,R,R
rhylan thomas,SEA,L,L
rhys hoskins,CLE,R,R
richard fitts,STL,R,R
richard lovelady,WSH,L,L
richie palacios,TB,L,R
ricky tiedemann,TOR,L,L
ricky vanasco,DET,R,R
rico garcia,BAL,R,R
riley cornelio,WSH,R,R
riley greene,DET,L,L
riley martin,CHC,L,L
riley obrien,STL,R,R
river ryan,LAD,R,R
rj petit,COL,R,R
rob refsnyder,SEA,R,R
rob zastryzny,MIL,R,L
robbie ray,SF,L,L
robby snelling,MIA,R,L
robert garcia,TEX,R,L
robert gasser,MIL,L,L
robert hassell iii,WSH,L,L
robert stephenson,LAA,R,R
robert suarez,ATL,R,R
robinson ortiz,SEA,L,L
roddery munoz,HOU,R,R
rodolfo duran,SD,R,R
roki sasaki,LAD,R,R
rolddy munoz,ATL,R,R
roman anthony,BOS,L,R
romy gonzalez,BOS,R,R
ron marinaccio,SD,R,R
ronald acuna jr,ATL,R,R
ronan kopp,LAD,L,L
ronel blanco,HOU,R,R
ronny henriquez,MIA,R,R
ronny mauricio,NYM,S,R
rowan wick,SF,L,R
royce lewis,MIN,R,R
ryan bergert,KC,R,R
ryan bliss,SEA,R,R
ryan borucki,SF,L,L
ryan feltner,COL,R,R
ryan fernandez,STL,R,R
ryan gusto,MIA,R,R
ryan harbin,PIT,R,R
ryan helsley,BAL,R,R
ryan jeffers,MIN,R,R
ryan johnson,LAA,S,R
ryan kreidler,MIN,R,R
ryan loutos,SEA,R,R
ryan mcmahon,NYY,L,R
ryan mountcastle,BAL,R,R
ryan ohearn,PIT,L,L
ryan pepiot,TB,R,R
ryan ritter,COL,R,R
ryan rolison,CHC,R,L
ryan thompson,ARI,R,R
ryan vilade,TB,R,R
ryan walker,SF,R,R
ryan ward,LAD,L,R
ryan watson,BOS,R,R
ryan weathers,NYY,R,L
ryan weiss,HOU,R,R
ryan yarbrough,NYY,R,L
ryan zeferjahn,LAA,R,R
ryne nelson,ARI,R,R
ryne stanek,STL,R,R
sal frelick,MIL,L,R
sal stewart,CIN,R,R
salvador perez,KC,R,R
sam aldegheri,LAA,L,L
sam antonacci,CWS,L,R
sam bachman,LAA,R,R
sam haggerty,TEX,S,R
sam hentges,SF,L,L
sam moll,CIN,L,L
sammy peralta,COL,L,L
samuel basallo,BAL,L,R
sandy alcantara,MIA,R,R
santiago espinal,LAD,R,R
sawyer gipsonlong,DET,R,R
scott barlow,ATH,R,R
scott kingery,CHC,R,R
sean burke,CWS,R,R
sean manaea,NYM,R,L
sean murphy,ATL,R,R
sean newcomb,CWS,L,L
sebastian rivero,LAA,R,R
seiya suzuki,CHC,R,R
seranthony dominguez,CWS,R,R
seth halvorsen,COL,R,R
seth johnson,PHI,R,R
seth lugo,KC,R,R
shane baz,BAL,R,R
shane bieber,TOR,R,R
shane drohan,MIL,L,L
shane mcclanahan,TB,L,L
shane smith,CWS,R,R
shaun anderson,LAA,R,R
shawn armstrong,CLE,R,R
shay whitcomb,HOU,R,R
shea langeliers,ATH,R,R
shelby miller,CHC,R,R
shohei ohtani,LAD,L,R
shota imanaga,CHC,L,L
simeon woods richardson,MIN,R,R
slade cecconi,CLE,R,R
sonny gray,BOS,R,R
spencer arrighetti,HOU,R,R
spencer bivens,SF,R,R
spencer horwitz,PIT,L,R
spencer jones,NYY,L,L
spencer miles,TOR,L,R
spencer schwellenbach,ATL,R,R
spencer steer,CIN,R,R
spencer strider,ATL,R,R
spencer torkelson,DET,R,R
starling marte,KC,R,R
stephen kolek,KC,R,R
sterlin thompson,COL,L,R
steven cruz,KC,R,R
steven kwan,CLE,L,L
steven matz,TB,R,L
steven okert,HOU,L,L
steven wilson,TB,R,R
steven zobac,KC,L,R
steward berroa,PHI,S,R
sungmun song,SD,L,R
taijuan walker,PHI,R,R
taj bradley,MIN,R,R
tanner banks,PHI,R,L
tanner bibee,CLE,R,R
tanner gordon,COL,L,R
tanner houck,BOS,R,R
tanner mcdougal,CWS,R,R
tanner murray,CWS,R,R
tanner scott,LAD,R,L
tarik skubal,DET,R,L
tatsuya imai,HOU,R,R
tayler saucedo,LAA,L,L
taylor clarke,ARI,R,R
taylor rashi,ARI,R,R
taylor rogers,MIN,L,L
taylor trammell,HOU,L,L
taylor walls,TB,S,R
taylor ward,BAL,R,R
tejay antone,CIN,R,R
tekoah roby,STL,R,R
teoscar hernandez,LAD,R,R
thayron liranzo,DET,S,R
thomas harrington,PIT,R,R
thomas saggese,STL,R,R
tim herrin,CLE,L,L
tim hill,NYY,R,L
tim mayza,PHI,L,L
tim tawa,ARI,R,R
tink hence,STL,R,R
tj friedl,CIN,L,L
tj rumfield,COL,L,R
tobias myers,NYM,R,R
tommy edman,LAD,S,R
tommy nance,TOR,R,R
tomoyuki sugano,COL,R,R
tony santillan,CIN,R,R
travis adams,MIN,R,R
travis bazzana,CLE,L,R
travis darnaud,LAA,R,R
trea turner,PHI,R,R
trei cruz,DET,S,R
trent grisham,NYY,L,L
trent thornton,CHC,R,R
trevor larnach,MIN,L,R
trevor martin,TB,R,R
trevor mcdonald,SF,R,R
trevor megill,MIL,L,R
trevor richards,CWS,R,R
trevor richards,PHI,R,R
trevor rogers,BAL,L,L
trevor story,BOS,R,R
trevor williams,WSH,R,R
trey gibson,BAL,R,R
trey sweeney,DET,L,R
trey yesavage,TOR,R,R
tristan beck,SF,R,R
tristan gray,MIN,L,R
tristan peters,CWS,L,R
triston casas,BOS,L,R
troy johnston,COL,L,L
troy melton,DET,R,R
troy taylor,SEA,R,R
tsungche cheng,BOS,L,R
ty adcock,SD,R,R
ty france,SD,R,R
ty madden,DET,R,R
tyler alexander,TEX,R,L
tyler austin,CHC,R,R
tyler black,MIL,L,R
tyler callihan,PIT,L,R
tyler davis,CWS,R,R
tyler ferguson,ATH,R,R
tyler ferguson,CHC,R,R
tyler fitzgerald,LAD,R,R
tyler fitzgerald,TOR,R,R
tyler freeman,COL,R,R
tyler gilbert,CWS,L,L
tyler glasnow,LAD,L,R
tyler heineman,TOR,S,R
tyler holton,DET,L,L
tyler kinley,ATL,R,R
tyler locklear,ARI,R,R
tyler mahle,SF,R,R
tyler oneill,BAL,R,R
tyler phillips,MIA,R,R
tyler rogers,TOR,R,R
tyler samaniego,BOS,R,L
tyler schweitzer,CWS,L,L
tyler soderstrom,ATH,L,R
tyler stephenson,CIN,R,R
tyler tolbert,KC,R,R
tyler uberstine,BOS,R,R
tyler wells,BAL,R,R
tylor megill,NYM,R,R
tyrone taylor,NYM,R,R
valente bellozo,COL,R,R
vaughn grissom,LAA,R,R
victor caratini,MIN,S,R
victor mederos,ATL,R,R
victor mesa jr,TB,L,L
victor robles,SEA,R,R
victor scott ii,STL,L,L
victor vodnik,COL,R,R
vidal brujan,NYM,S,R
vinnie pasquantino,KC,L,L
vladimir guerrero jr,TOR,R,R
walbert urena,LAA,R,R
walker buehler,SD,R,R
wandy peralta,SD,L,L
welinton herrera,COL,L,L
wenceel perez,DET,S,R
weston wilson,BAL,R,R
wikelman gonzalez,CWS,R,R
wilber dotel,PIT,R,R
will benson,CIN,L,L
will brennan,SF,L,L
will klein,LAD,R,R
will smith,LAD,R,R
will vest,DET,R,R
will wagner,SD,L,R
will warren,NYY,R,R
will wilson,SEA,R,R
willi castro,COL,S,R
william contreras,MIL,R,R
william kempner,MIA,R,R
willie maciver,TEX,R,R
willie maciver,TOR,R,R
willson contreras,BOS,R,R
willy adames,SF,R,R
wilyer abreu,BOS,L,L
winston santos,TEX,R,R
wyatt langford,TEX,R,R
xander bogaerts,SD,R,R
xavier edwards,MIA,S,R
yacksel rios,CHC,R,R
yainer diaz,HOU,R,R
yandy diaz,TB,R,R
yaramil hiraldo,BAL,R,R
yennier cano,BAL,R,R
yerry de los santos,NYY,R,R
yilber diaz,ARI,R,R
yimi garcia,TOR,R,R
yoan moncada,LAA,S,R
yoendrys gomez,MIN,R,R
yoendrys gomez,TB,R,R
yohan ramirez,PIT,R,R
yohel pozo,STL,R,R
yohendrick pinango,TOR,L,L
yoniel curet,DET,R,R
yoniel curet,PHI,R,R
yordan alvarez,HOU,L,R
yorman gomez,CLE,R,R
yoshinobu yamamoto,LAD,R,R
yosver zulueta,SEA,R,R
yuki matsui,SD,L,L
yusei kikuchi,LAA,L,L
zac gallen,ARI,R,R
zac veen,COL,L,R
zach agnos,COL,R,R
zach cole,HOU,L,R
zach dezenzo,HOU,R,R
zach eflin,BAL,R,R
zach maxwell,CIN,R,R
zach mckinstry,DET,L,R
zach neto,LAA,R,R
zach pop,PHI,R,R
zack gelof,ATH,R,R
zack kelly,BOS,R,R
zack littell,WSH,R,R
zack short,DET,R,R
zack wheeler,PHI,L,R
zak kent,MIN,R,R
zak kent,WSH,R,R
zebby matthews,MIN,R,R
haoyu lee,DET,R,R
rafael flores,PIT,R,R
will kempner,MIA,R,R
